(venv) root@54abc98375bd:/moheft/experiment/01_get_tasks_execution_time# ./E01_1_execute_workflow.sh 
Execution: 1
<< Matrix Multiplication >>
Local MatMul Computation done in 0.005460s
in nheft.cpp 
CommMultiplier:1
DefaultCompCost:100
DefaultCommCost:1
NumThreads:1
[WORKER][PID=1627] 0 x 1 x 0
[WORKER][PID=1627] 0 x 3 x 0
[WORKER][PID=1627] 0 x 4 x 0
[WORKER][PID=1627] 0 x 2 x 0
[WORKER][PID=1627] 0 x 0 x 0
[WORKER][PID=1627] 1 x 1 x 0
[WORKER][PID=1627] 1 x 0 x 0
[WORKER][PID=1627] 0 x 1 x 1
[WORKER][PID=1627] 0 x 3 x 1
[WORKER][PID=1627] 0 x 4 x 1
[WORKER][PID=1627] 0 x 2 x 1
[WORKER][PID=1627] 0 x 0 x 1
[WORKER][PID=1627] 1 x 1 x 1
[WORKER][PID=1627] 1 x 0 x 1
[WORKER][PID=1627] 0 x 1 x 2
[WORKER][PID=1627] 0 x 3 x 2
[WORKER][PID=1627] 0 x 4 x 2
[WORKER][PID=1627] 0 x 2 x 2
[WORKER][PID=1627] 0 x 0 x 2
[WORKER][PID=1627] 1 x 1 x 2
[WORKER][PID=1627] 1 x 0 x 2
[WORKER][PID=1627] 0 x 1 x 3
[WORKER][PID=1627] 0 x 3 x 3
[WORKER][PID=1627] 0 x 4 x 3
[WORKER][PID=1627] 0 x 2 x 3
[WORKER][PID=1627] 0 x 0 x 3
[WORKER][PID=1627] 1 x 1 x 3
[WORKER][PID=1627] 1 x 0 x 3
[WORKER][PID=1627] 0 x 1 x 4
[WORKER][PID=1627] 0 x 3 x 4
[WORKER][PID=1627] 0 x 4 x 4
[WORKER][PID=1627] 0 x 2 x 4
[WORKER][PID=1627] 0 x 0 x 4
[WORKER][PID=1627] 1 x 1 x 4
[WORKER][PID=1627] 1 x 0 x 4
[WORKER][PID=1627] 4 x 4 x 0
[WORKER][PID=1627] 1 x 2 x 0
[WORKER][PID=1627] 1 x 3 x 0
[WORKER][PID=1627] 1 x 4 x 0
[WORKER][PID=1627] 2 x 0 x 0
[WORKER][PID=1627] 2 x 1 x 0
[WORKER][PID=1627] 2 x 2 x 0
[WORKER][PID=1627] 4 x 4 x 1
[WORKER][PID=1627] 1 x 2 x 1
[WORKER][PID=1627] 1 x 3 x 1
[WORKER][PID=1627] 1 x 4 x 1
[WORKER][PID=1627] 2 x 0 x 1
[WORKER][PID=1627] 2 x 1 x 1
[WORKER][PID=1627] 2 x 2 x 1
[WORKER][PID=1627] 4 x 4 x 2
[WORKER][PID=1627] 1 x 2 x 2
[WORKER][PID=1627] 1 x 3 x 2
[WORKER][PID=1627] 1 x 4 x 2
[WORKER][PID=1627] 2 x 0 x 2
[WORKER][PID=1627] 2 x 1 x 2
[WORKER][PID=1627] 2 x 2 x 2
[WORKER][PID=1627] 4 x 4 x 3
[WORKER][PID=1627] 1 x 2 x 3
[WORKER][PID=1627] 1 x 3 x 3
[WORKER][PID=1627] 1 x 4 x 3
[WORKER][PID=1627] 2 x 0 x 3
[WORKER][PID=1627] 2 x 1 x 3
[WORKER][PID=1627] 2 x 2 x 3
[WORKER][PID=1627] 4 x 4 x 4
[WORKER][PID=1627] 1 x 2 x 4
[WORKER][PID=1627] 1 x 3 x 4
[WORKER][PID=1627] 1 x 4 x 4
[WORKER][PID=1627] 2 x 0 x 4
[WORKER][PID=1627] 2 x 1 x 4
[WORKER][PID=1627] 2 x 2 x 4
[WORKER][PID=1627] 4 x 3 x 0
[WORKER][PID=1627] 2 x 3 x 0
[WORKER][PID=1627] 2 x 4 x 0
[WORKER][PID=1627] 3 x 0 x 0
[WORKER][PID=1627] 3 x 1 x 0
[WORKER][PID=1627] 3 x 2 x 0
[WORKER][PID=1627] 3 x 3 x 0
[WORKER][PID=1627] 4 x 3 x 1
[WORKER][PID=1627] 2 x 3 x 1
[WORKER][PID=1627] 2 x 4 x 1
[WORKER][PID=1627] 3 x 0 x 1
[WORKER][PID=1627] 3 x 1 x 1
[WORKER][PID=1627] 3 x 2 x 1
[WORKER][PID=1627] 3 x 3 x 1
[WORKER][PID=1627] 4 x 3 x 2
[WORKER][PID=1627] 2 x 3 x 2
[WORKER][PID=1627] 2 x 4 x 2
[WORKER][PID=1627] 3 x 0 x 2
[WORKER][PID=1627] 3 x 1 x 2
[WORKER][PID=1627] 3 x 2 x 2
[WORKER][PID=1627] 3 x 3 x 2
[WORKER][PID=1627] 4 x 3 x 3
[WORKER][PID=1627] 2 x 3 x 3
[WORKER][PID=1627] 2 x 4 x 3
[WORKER][PID=1627] 3 x 0 x 3
[WORKER][PID=1627] 3 x 1 x 3
[WORKER][PID=1627] 3 x 2 x 3
[WORKER][PID=1627] 3 x 3 x 3
[WORKER][PID=1627] 4 x 3 x 4
[WORKER][PID=1627] 2 x 3 x 4
[WORKER][PID=1627] 2 x 4 x 4
[WORKER][PID=1627] 3 x 0 x 4
[WORKER][PID=1627] 3 x 1 x 4
[WORKER][PID=1627] 3 x 2 x 4
[WORKER][PID=1627] 3 x 3 x 4
[WORKER][PID=1627] 4 x 2 x 0
[WORKER][PID=1627] 3 x 4 x 0
[WORKER][PID=1627] 4 x 0 x 0
[WORKER][PID=1627] 4 x 1 x 0
[WORKER][PID=1627] 4 x 2 x 1
[WORKER][PID=1627] 3 x 4 x 1
[WORKER][PID=1627] 4 x 0 x 1
[WORKER][PID=1627] 4 x 1 x 1
[WORKER][PID=1627] 4 x 2 x 2
[WORKER][PID=1627] 3 x 4 x 2
[WORKER][PID=1627] 4 x 0 x 2
[WORKER][PID=1627] 4 x 1 x 2
[WORKER][PID=1627] 4 x 2 x 3
[WORKER][PID=1627] 3 x 4 x 3
[WORKER][PID=1627] 4 x 0 x 3
[WORKER][PID=1627] 4 x 1 x 3
[WORKER][PID=1627] 4 x 2 x 4
[WORKER][PID=1627] 3 x 4 x 4
[WORKER][PID=1627] 4 x 0 x 4
[WORKER][PID=1627] 4 x 1 x 4
Offloaded BlockMatMul Computation done in 13.147837s
Non-Matching Block Outputs: 0
Execution: 2
<< Matrix Multiplication >>
Local MatMul Computation done in 0.002825s
in nheft.cpp 
CommMultiplier:1
DefaultCompCost:100
DefaultCommCost:1
NumThreads:1
[WORKER][PID=1661] 0 x 4 x 0
[WORKER][PID=1661] 0 x 3 x 0
[WORKER][PID=1661] 0 x 1 x 0
[WORKER][PID=1661] 0 x 2 x 0
[WORKER][PID=1661] 2 x 4 x 0
[WORKER][PID=1661] 1 x 0 x 0
[WORKER][PID=1661] 0 x 0 x 0
[WORKER][PID=1661] 0 x 4 x 1
[WORKER][PID=1661] 0 x 3 x 1
[WORKER][PID=1661] 0 x 1 x 1
[WORKER][PID=1661] 0 x 2 x 1
[WORKER][PID=1661] 2 x 4 x 1
[WORKER][PID=1661] 1 x 0 x 1
[WORKER][PID=1661] 0 x 0 x 1
[WORKER][PID=1661] 0 x 4 x 2
[WORKER][PID=1661] 0 x 3 x 2
[WORKER][PID=1661] 0 x 1 x 2
[WORKER][PID=1661] 0 x 2 x 2
[WORKER][PID=1661] 2 x 4 x 2
[WORKER][PID=1661] 1 x 0 x 2
[WORKER][PID=1661] 0 x 0 x 2
[WORKER][PID=1661] 0 x 4 x 3
[WORKER][PID=1661] 0 x 3 x 3
[WORKER][PID=1661] 0 x 1 x 3
[WORKER][PID=1661] 0 x 2 x 3
[WORKER][PID=1661] 2 x 4 x 3
[WORKER][PID=1661] 1 x 0 x 3
[WORKER][PID=1661] 0 x 0 x 3
[WORKER][PID=1661] 0 x 4 x 4
[WORKER][PID=1661] 0 x 3 x 4
[WORKER][PID=1661] 0 x 1 x 4
[WORKER][PID=1661] 0 x 2 x 4
[WORKER][PID=1661] 2 x 4 x 4
[WORKER][PID=1661] 1 x 0 x 4
[WORKER][PID=1661] 0 x 0 x 4
[WORKER][PID=1661] 1 x 1 x 0
[WORKER][PID=1661] 1 x 2 x 0
[WORKER][PID=1661] 1 x 3 x 0
[WORKER][PID=1661] 1 x 4 x 0
[WORKER][PID=1661] 4 x 4 x 0
[WORKER][PID=1661] 2 x 0 x 0
